d
ver=V2.1CXR
Recint=10
Mem 4000, 0, 237
Memi 4049, 3460, 3697
Start 4001, 374277077
Finish 4002, 374277548
MaxD 4003, 10.03
Status 4004, 0
OTU 4005, 41
Descend prob 4006, 0
Gas 4010, 79, 0, 660, 1
Gas 4011, 40, 50, 1100, 0
Gas 4012, 60, 25, 700, 0
Gas 4013, 1, 0, 60, 0
Gas 4014, 68, 0, 400, 0
Gas 4015, 64, 0, 344, 0
Gas 4016, 50, 0, 220, 0
Gas 4017, 20, 0, 100, 0
Gas 4018, 79, 0, 660, 0
Gas 4019, 79, 0, 660, 0
Tissue 4020, 79, 0
Tissue 4021, 79, 0
Tissue 4022, 78, 0
Tissue 4023, 78, 0
Tissue 4024, 78, 0
Tissue 4025, 78, 0
Tissue 4026, 78, 0
Tissue 4027, 78, 0
Tissue 4028, 78, 0
Tissue 4029, 78, 0
Tissue 4030, 78, 0
Tissue 4031, 78, 0
Tissue 4032, 78, 0
Tissue 4033, 78, 0
Tissue 4034, 78, 0
Tissue 4035, 78, 0
Profile
R0000,0010,0000,0038,M0000,T0035,A000088,B013333,C012335,D001229,E045333,F001339,G021333,H001449
R0030,0177,0000,0023,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0031,0175,0000,0023,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0032,0172,0000,0023,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0033,0169,0000,0023,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0034,0165,0000,0023,M0000,T0031,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0035,0164,0000,0023,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0036,0164,0000,0023,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0037,0163,0000,0023,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0038,0162,0000,0023,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0039,0162,0000,0023,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0040,0161,0000,0023,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0041,0158,0000,0023,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0042,0158,0000,0022,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0043,0158,0000,0022,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0044,0158,0000,0022,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0045,0158,0000,0022,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0046,0158,0000,0022,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0047,0157,0000,0022,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0048,0157,0000,0022,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0049,0158,0000,0022,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0050,0157,0000,0022,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0051,0158,0000,0022,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0052,0158,0000,0022,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0053,0158,0000,0022,M0000,T0029,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0054,0159,0000,0021,M0000,T0029,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0055,0157,0000,0021,M0000,T0029,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0056,0157,0000,0021,M0000,T0029,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0057,0157,0000,0021,M0000,T0028,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0058,0156,0000,0021,M0000,T0028,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0059,0156,0000,0021,M0000,T0028,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0060,0156,0000,0021,M0000,T0028,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0061,0156,0000,0021,M0000,T0026,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0062,0156,0000,0021,M0000,T0027,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0063,0156,0000,0021,M0000,T0026,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0064,0156,0000,0021,M0000,T0026,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0065,0157,0000,0021,M0000,T0026,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0066,0156,0000,0021,M0000,T0025,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0067,0156,0000,0021,M0000,T0025,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0068,0156,0000,0021,M0000,T0025,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0069,0157,0000,0021,M0000,T0025,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0070,0156,0000,0021,M0000,T0024,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0071,0158,0000,0021,M0000,T0024,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0072,0158,0000,0021,M0000,T0024,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0073,0158,0000,0021,M0000,T0024,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0074,0158,0000,0021,M0000,T0023,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0075,0158,0000,0021,M0000,T0023,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0076,0158,0000,0021,M0000,T0022,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0077,0158,0000,0021,M0000,T0022,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0078,0158,0000,0021,M0000,T0022,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0079,0157,0000,0021,M0000,T0022,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0080,0157,0000,0021,M0000,T0022,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0081,0156,0000,0021,M0000,T0020,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0082,0156,0000,0021,M0000,T0021,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0083,0156,0000,0021,M0000,T0021,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0084,0156,0000,0021,M0000,T0021,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0085,0156,0000,0021,M0000,T0021,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0086,0156,0000,0021,M0000,T0021,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0087,0157,0000,0021,M0000,T0021,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0088,0156,0000,0021,M0000,T0021,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0089,0155,0000,0022,M0000,T0021,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0090,0155,0000,0022,M0000,T0021,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0091,0155,0000,0022,M0000,T0021,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0092,0155,0000,0022,M0000,T0021,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0093,0155,0000,0022,M0000,T0021,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0094,0155,0000,0022,M0000,T0021,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0095,0155,0000,0022,M0000,T0021,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0096,0155,0000,0022,M0000,T0021,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0097,0154,0000,0022,M0000,T0021,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0098,0154,0000,0022,M0000,T0021,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0099,0154,0000,0022,M0000,T0021,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0100,0154,0000,0022,M0000,T0021,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0101,0158,0000,0022,M0000,T0021,A000040,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0102,0156,0000,0021,M0000,T0021,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0103,0153,0000,0021,M0000,T0021,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0104,0153,0000,0021,M0000,T0021,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0105,0153,0000,0021,M0000,T0021,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0106,0153,0000,0020,M0000,T0021,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0107,0153,0000,0019,M0000,T0022,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0108,0153,0000,0018,M0000,T0023,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0109,0153,0000,0018,M0000,T0023,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0110,0153,0000,0018,M0000,T0023,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0111,0153,0000,0018,M0000,T0023,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0112,0149,0000,0018,M0000,T0023,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0113,0148,0000,0018,M0000,T0023,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0114,0147,0000,0018,M0000,T0023,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0115,0147,0000,0018,M0000,T0023,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0116,0146,0000,0016,M0000,T0023,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0117,0146,0000,0016,M0000,T0023,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0118,0146,0000,0016,M0000,T0023,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0119,0147,0000,0016,M0000,T0024,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0120,0146,0000,0016,M0000,T0024,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0121,0146,0000,0016,M0000,T0024,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0122,0146,0000,0016,M0000,T0024,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0123,0146,0000,0016,M0000,T0024,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0124,0146,0000,0016,M0000,T0024,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0125,0146,0000,0016,M0000,T0024,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0126,0146,0000,0016,M0000,T0024,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0127,0146,0000,0016,M0000,T0024,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0128,0146,0000,0016,M0000,T0025,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0129,0146,0000,0015,M0000,T0024,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0130,0147,0000,0015,M0000,T0025,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0131,0146,0000,0015,M0000,T0025,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0132,0147,0000,0015,M0000,T0025,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0133,0144,0000,0015,M0000,T0025,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0134,0144,0000,0015,M0000,T0025,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0135,0144,0000,0015,M0000,T0026,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0136,0144,0000,0015,M0000,T0026,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0137,0144,0000,0015,M0000,T0026,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0138,0144,0000,0016,M0000,T0026,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0139,0144,0000,0016,M0000,T0026,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0140,0144,0000,0015,M0000,T0026,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0141,0143,0000,0016,M0000,T0026,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0142,0143,0000,0017,M0000,T0027,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0143,0143,0000,0017,M0000,T0027,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0144,0143,0000,0017,M0000,T0027,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0145,0143,0000,0015,M0000,T0027,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0146,0143,0000,0015,M0000,T0027,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0147,0143,0000,0016,M0000,T0027,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0148,0143,0000,0015,M0000,T0028,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0149,0143,0000,0015,M0000,T0028,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0150,0142,0000,0015,M0000,T0028,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0151,0142,0000,0015,M0000,T0028,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0152,0142,0000,0014,M0000,T0028,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0153,0142,0000,0014,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0154,0142,0000,0014,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0155,0141,0000,0014,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0156,0141,0000,0014,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0157,0141,0000,0014,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0158,0141,0000,0014,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0159,0140,0000,0014,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0160,0140,0000,0014,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0161,0139,0000,0014,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0162,0139,0000,0014,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0163,0139,0000,0014,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0164,0138,0000,0014,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0165,0138,0000,0013,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0166,0138,0000,0013,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0167,0136,0000,0013,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0168,0137,0000,0011,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0169,0136,0000,0011,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0170,0136,0000,0011,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0171,0136,0000,0011,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0172,0136,0000,0011,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0173,0137,0000,0010,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0174,0136,0000,0011,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0175,0136,0000,0010,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0176,0136,0000,0010,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0177,0136,0000,0010,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0178,0137,0000,0010,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0179,0137,0000,0010,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0180,0134,0000,0008,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0181,0134,0000,0009,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0182,0134,0000,0008,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0183,0136,0000,0008,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0184,0133,0000,0007,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0185,0133,0000,0007,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0186,0133,0000,0007,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0187,0131,0000,0007,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0188,0131,0000,0007,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0189,0131,0000,0007,M0000,T0030,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0190,0131,0000,0007,M0000,T0029,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0191,0131,0000,0007,M0000,T0029,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0192,0131,0000,0007,M0000,T0029,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0193,0129,0000,0006,M0000,T0029,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0194,0128,0000,0006,M0000,T0029,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0195,0127,0000,0006,M0000,T0029,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0196,0126,0000,0006,M0000,T0029,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0197,0126,0000,0006,M0000,T0029,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0198,0126,0000,0005,M0000,T0029,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0199,0126,0000,0005,M0000,T0028,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0200,0127,0000,0005,M0000,T0028,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0201,0123,0000,0005,M0000,T0028,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0202,0123,0000,0005,M0000,T0028,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0203,0121,0000,0005,M0000,T0027,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0204,0121,0000,0004,M0000,T0027,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0205,0121,0000,0004,M0000,T0027,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0206,0121,0000,0004,M0000,T0027,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0207,0116,0000,0004,M0000,T0027,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0208,0117,0000,0005,M0000,T0027,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0209,0117,0000,0005,M0000,T0027,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0210,0109,0000,0005,M0000,T0027,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0211,0109,0000,0005,M0000,T0027,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0212,0108,0000,0005,M0000,T0027,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0213,0108,0000,0003,M0000,T0027,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0214,0107,0000,0004,M0000,T0027,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0215,0107,0000,0003,M0000,T0027,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0216,0107,0000,0004,M0000,T0027,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0217,0107,0000,0003,M0000,T0027,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0218,0107,0000,0004,M0000,T0027,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0219,0106,0000,0003,M0000,T0027,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0220,0106,0000,0004,M0000,T0027,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0221,0106,0000,0003,M0000,T0027,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0222,0103,0000,0003,M0000,T0027,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0223,0103,0000,0003,M0000,T0027,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0224,0103,0000,0003,M0000,T0027,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0225,0102,0000,0003,M0000,T0026,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0226,0101,0000,0002,M0000,T0026,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0227,0101,0000,0002,M0000,T0026,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0228,0101,0000,0002,M0000,T0025,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0229,0101,0000,0002,M0000,T0025,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0230,0101,0000,0002,M0000,T0025,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0231,0101,0000,0001,M0000,T0024,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0232,0101,0000,0001,M0000,T0024,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0233,0105,0000,0001,M0000,T0024,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0234,0097,0000,0001,M0000,T0024,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0235,0095,0000,0001,M0000,T0024,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0236,0094,0000,0001,M0000,T0024,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0237,0093,0000,0001,M0000,T0026,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0238,0093,0000,0001,M0000,T0025,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0239,0091,0000,0001,M0000,T0025,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0240,0090,0000,0002,M0000,T0025,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0241,0090,0000,0001,M0000,T0024,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0242,0090,0000,0001,M0000,T0024,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
R0243,0090,0000,0001,M0000,T0024,A000000,B013456,C012345,D000909,E045283,F001909,G021283,H001909
